ReturnID,SSN,TaxYear,ReportedIncome,ClaimedDeductions,TaxWithheld,RefundRequested,flag_duplicate_ssn,flag_excessive_deductions,flag_inflated_refund,flag_low_income_high_refund,flag_missing_withholding,RiskScore,RiskLevel
1,123-45-6789,2024,45000,50000,4500,6000,1,1,0,0,0,80,Medium
2,987-65-4321,2024,90000,10000,12000,4000,0,0,0,0,0,0,Low
3,123-45-6789,2024,55000,12000,6000,5500,1,0,0,0,0,50,Medium
4,555-11-2222,2024,18000,8000,1500,3200,0,0,1,1,0,40,Low
5,222-33-4444,2024,65000,7000,7000,7200,0,0,0,0,0,0,Low
6,333-44-5555,2024,30000,26000,0,1500,0,1,1,0,1,65,Medium
7,444-55-6666,2024,120000,95000,18000,28000,0,0,1,0,0,25,Low
8,777-88-9999,2024,40000,10000,3000,2800,0,0,0,0,0,0,Low
9,888-00-1111,2024,25000,21000,1800,2900,0,1,1,0,0,55,Medium
10,999-12-3456,2024,52000,15000,5200,5100,0,0,0,0,0,0,Low
